"Story","Title","Result","Date","Stability","Duration (s)"
"add product to shopping cart","Scenario","PENDING","2023-12-27T15:41:47.292-05:00[America/Bogota]","0.0","0.64"
"add product to shopping carts","Scenario","PENDING","2023-12-27T16:30:20.653-05:00[America/Bogota]","0.0","0.56"
